Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"TS03 - Login, Add Cosigner",Chrome 92.0.4515.159,,,2021-08-31 08:28:47,2021-08-31 08:30:03,1m - 15.574s,PASSED
,,,,,,,
Test Cases/Login/TC01 - login_renterdash,Chrome 92.0.4515.159,,,2021-08-31 08:28:48,2021-08-31 08:29:24,36.492s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-31 08:28:49,2021-08-31 08:28:52,3.124s,PASSED
navigateToUrl(URL),Chrome 92.0.4515.159,,,2021-08-31 08:28:52,2021-08-31 08:28:57,5.143s,PASSED
"setText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__email""), Email_Jerrold2)",Chrome 92.0.4515.159,,,2021-08-31 08:28:57,2021-08-31 08:29:08,10.289s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__password""), ""pK4N7w/gtfGay7FzPRwAOg=="")",Chrome 92.0.4515.159,,,2021-08-31 08:29:08,2021-08-31 08:29:08,0.544s,PASSED
"click(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/button_Log in""))",Chrome 92.0.4515.159,,,2021-08-31 08:29:08,2021-08-31 08:29:09,0.460s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-31 08:29:09,2021-08-31 08:29:19,10.090s,PASSED
"waitForElementVisible(findTestObject(""Login_TestObjects/Page_Poplar Homes/div_General DetailsCompleted""), 10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-31 08:29:19,2021-08-31 08:29:24,5.618s,PASSED
,,,,,,,
Test Cases/Profile_Tab/Group_Details/Actions/TC03 - Add Co-signer,Chrome 92.0.4515.159,,,2021-08-31 08:29:24,2021-08-31 08:30:03,38.571s,PASSED
"click(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/div_Group DetailsCompleted""))",Chrome 92.0.4515.159,,,2021-08-31 08:29:25,2021-08-31 08:29:25,0.485s,PASSED
"click(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/button_Actions""))",Chrome 92.0.4515.159,,,2021-08-31 08:29:25,2021-08-31 08:29:36,10.591s,PASSED
"click(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/button_Add Co-signer""))",Chrome 92.0.4515.159,,,2021-08-31 08:29:36,2021-08-31 08:29:36,0.516s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__firstName""), ""Katy Perry"")",Chrome 92.0.4515.159,,,2021-08-31 08:29:36,2021-08-31 08:29:37,0.953s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__lastName""), ""Hilary"")",Chrome 92.0.4515.159,,,2021-08-31 08:29:37,2021-08-31 08:29:38,0.791s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__email_1""), ""katyperryhilary@gmail.com"")",Chrome 92.0.4515.159,,,2021-08-31 08:29:38,2021-08-31 08:29:39,0.989s,PASSED
