Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"TS02 - Login, Invite Member",Chrome 92.0.4515.159,,,2021-08-26 23:11:50,2021-08-26 23:12:39,48.893s,PASSED
,,,,,,,
Test Cases/Login/login_renterdash,Chrome 92.0.4515.159,,,2021-08-26 23:11:50,2021-08-26 23:12:18,27.816s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-26 23:11:52,2021-08-26 23:11:57,4.967s,PASSED
"navigateToUrl(""https://renterdashboard.winston.cerberuslink.net/login"")",Chrome 92.0.4515.159,,,2021-08-26 23:11:57,2021-08-26 23:12:01,4.070s,PASSED
"setText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__email""), ""jerrold+imusgrove32@onerent.co"")",Chrome 92.0.4515.159,,,2021-08-26 23:12:01,2021-08-26 23:12:03,2.205s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__password""), ""pK4N7w/gtfGay7FzPRwAOg=="")",Chrome 92.0.4515.159,,,2021-08-26 23:12:03,2021-08-26 23:12:04,0.754s,PASSED
"click(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/button_Log in""))",Chrome 92.0.4515.159,,,2021-08-26 23:12:04,2021-08-26 23:12:04,0.643s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-26 23:12:04,2021-08-26 23:12:15,10.202s,PASSED
"waitForElementVisible(findTestObject(""Login_TestObjects/Page_Poplar Homes/div_General DetailsCompleted""), 10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-26 23:12:15,2021-08-26 23:12:18,3.773s,PASSED
,,,,,,,
Test Cases/Profile_Tab/Group_Details/Actions/TC02 - Invite Member,Chrome 92.0.4515.159,,,2021-08-26 23:12:18,2021-08-26 23:12:39,20.274s,PASSED
"click(findTestObject(""Actions_InviteMember/Page_Poplar Homes/div_Group DetailsCompleted""))",Chrome 92.0.4515.159,,,2021-08-26 23:12:19,2021-08-26 23:12:20,0.571s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_Actions""))",Chrome 92.0.4515.159,,,2021-08-26 23:12:20,2021-08-26 23:12:20,0.550s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_InviteMember""))",Chrome 92.0.4515.159,,,2021-08-26 23:12:20,2021-08-26 23:12:21,0.587s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 23:12:21,2021-08-26 23:12:26,5.010s,PASSED
"setText(findTestObject(""Actions_InviteMember/Page_Poplar Homes/input_httpsrenterdashboard.winston.cerberuslink.netjoin-grouppatient-frog-42_invitee-0""), ""winston@poplarhomes.com"")",Chrome 92.0.4515.159,,,2021-08-26 23:12:26,2021-08-26 23:12:27,0.975s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 23:12:27,2021-08-26 23:12:32,5.014s,PASSED
"if (verifyElementClickable(findTestObject(""Actions_InviteMember/Page_Poplar Homes/button_Send Invitation""), CONTINUE_ON_FAILURE))",Chrome 92.0.4515.159,,,2021-08-26 23:12:32,2021-08-26 23:12:33,1.006s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_Send Invitation""))",Chrome 92.0.4515.159,,,2021-08-26 23:12:33,2021-08-26 23:12:34,0.535s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 23:12:34,2021-08-26 23:12:39,5.012s,PASSED
