Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"TS02 - Login, Invite Member",Chrome 92.0.4515.159,,,2021-08-26 22:33:36,2021-08-26 22:34:51,1m - 14.406s,FAILED
,,,,,,,
Test Cases/Login/login_renterdash,Chrome 92.0.4515.159,,,2021-08-26 22:33:37,2021-08-26 22:34:05,28.494s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-26 22:33:38,2021-08-26 22:33:43,4.887s,PASSED
"navigateToUrl(""https://renterdashboard.winston.cerberuslink.net/login"")",Chrome 92.0.4515.159,,,2021-08-26 22:33:43,2021-08-26 22:33:48,4.492s,PASSED
"setText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__email""), ""jerrold+imusgrove32@onerent.co"")",Chrome 92.0.4515.159,,,2021-08-26 22:33:48,2021-08-26 22:33:49,1.840s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__password""), ""pK4N7w/gtfGay7FzPRwAOg=="")",Chrome 92.0.4515.159,,,2021-08-26 22:33:49,2021-08-26 22:33:50,0.798s,PASSED
"click(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/button_Log in""))",Chrome 92.0.4515.159,,,2021-08-26 22:33:50,2021-08-26 22:33:51,0.687s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-26 22:33:51,2021-08-26 22:34:01,10.141s,PASSED
"waitForElementVisible(findTestObject(""Login_TestObjects/Page_Poplar Homes/div_General DetailsCompleted""), 10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-26 22:34:01,2021-08-26 22:34:05,4.361s,PASSED
,,,,,,,
Test Cases/Profile_Tab/Group_Details/Actions/TC02 - Invite Member,Chrome 92.0.4515.159,,,2021-08-26 22:34:05,2021-08-26 22:34:51,45.132s,FAILED
"click(findTestObject(""Actions_InviteMember/Page_Poplar Homes/div_Group DetailsCompleted""))",Chrome 92.0.4515.159,,,2021-08-26 22:34:06,2021-08-26 22:34:07,0.559s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_Actions""))",Chrome 92.0.4515.159,,,2021-08-26 22:34:07,2021-08-26 22:34:07,0.541s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_InviteMember""))",Chrome 92.0.4515.159,,,2021-08-26 22:34:07,2021-08-26 22:34:08,0.578s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 22:34:08,2021-08-26 22:34:13,5.012s,PASSED
"setText(findTestObject(""Actions_InviteMember/Page_Poplar Homes/input_httpsrenterdashboard.winston.cerberuslink.netjoin-grouppatient-frog-42_invitee-0""), ""winston@poplarhomes.com"")",Chrome 92.0.4515.159,,,2021-08-26 22:34:13,2021-08-26 22:34:14,0.971s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 22:34:14,2021-08-26 22:34:19,5.008s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_Send Invitation""))",Chrome 92.0.4515.159,,,2021-08-26 22:34:19,2021-08-26 22:34:51,31.487s,FAILED
