Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"TS01 - Login, Add Member",Chrome 92.0.4515.159,,,2021-08-27 09:14:23,2021-08-27 09:15:18,55.912s,PASSED
,,,,,,,
Test Cases/Login/login_renterdash,Chrome 92.0.4515.159,,,2021-08-27 09:14:23,2021-08-27 09:14:48,25.006s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 09:14:24,2021-08-27 09:14:28,3.755s,PASSED
"navigateToUrl(""https://renterdashboard.winston.cerberuslink.net/login"")",Chrome 92.0.4515.159,,,2021-08-27 09:14:28,2021-08-27 09:14:32,4.131s,PASSED
"setText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__email""), ""jerrold+imusgrove32@onerent.co"")",Chrome 92.0.4515.159,,,2021-08-27 09:14:32,2021-08-27 09:14:33,0.980s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__password""), ""pK4N7w/gtfGay7FzPRwAOg=="")",Chrome 92.0.4515.159,,,2021-08-27 09:14:33,2021-08-27 09:14:34,0.626s,PASSED
"click(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/button_Log in""))",Chrome 92.0.4515.159,,,2021-08-27 09:14:34,2021-08-27 09:14:34,0.656s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 09:14:34,2021-08-27 09:14:44,10.094s,PASSED
"waitForElementVisible(findTestObject(""Login_TestObjects/Page_Poplar Homes/div_General DetailsCompleted""), 10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 09:14:44,2021-08-27 09:14:48,3.850s,PASSED
,,,,,,,
Test Cases/Profile_Tab/Group_Details/Actions/TC04 - Add Member,Chrome 92.0.4515.159,,,2021-08-27 09:14:48,2021-08-27 09:15:18,30.346s,PASSED
"click(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/div_Group DetailsCompleted""))",Chrome 92.0.4515.159,,,2021-08-27 09:14:49,2021-08-27 09:14:49,0.466s,PASSED
"click(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/button_Actions""))",Chrome 92.0.4515.159,,,2021-08-27 09:14:49,2021-08-27 09:14:50,0.573s,PASSED
