Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"TS02 - Login, Invite Member",Chrome 92.0.4515.159,,,2021-08-26 23:02:36,2021-08-26 23:04:34,1m - 57.397s,FAILED
,,,,,,,
Test Cases/Login/login_renterdash,Chrome 92.0.4515.159,,,2021-08-26 23:02:37,2021-08-26 23:03:05,28.193s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-26 23:02:39,2021-08-26 23:02:44,5.170s,PASSED
"navigateToUrl(""https://renterdashboard.winston.cerberuslink.net/login"")",Chrome 92.0.4515.159,,,2021-08-26 23:02:44,2021-08-26 23:02:48,4.230s,PASSED
"setText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__email""), ""jerrold+imusgrove32@onerent.co"")",Chrome 92.0.4515.159,,,2021-08-26 23:02:48,2021-08-26 23:02:50,1.954s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__password""), ""pK4N7w/gtfGay7FzPRwAOg=="")",Chrome 92.0.4515.159,,,2021-08-26 23:02:50,2021-08-26 23:02:51,0.871s,PASSED
"click(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/button_Log in""))",Chrome 92.0.4515.159,,,2021-08-26 23:02:51,2021-08-26 23:02:51,0.653s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-26 23:02:51,2021-08-26 23:03:02,10.141s,PASSED
"waitForElementVisible(findTestObject(""Login_TestObjects/Page_Poplar Homes/div_General DetailsCompleted""), 10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-26 23:03:02,2021-08-26 23:03:05,3.867s,PASSED
,,,,,,,
Test Cases/Profile_Tab/Group_Details/Actions/TC02 - Invite Member,Chrome 92.0.4515.159,,,2021-08-26 23:03:05,2021-08-26 23:04:34,1m - 28.375s,FAILED
"click(findTestObject(""Actions_InviteMember/Page_Poplar Homes/div_Group DetailsCompleted""))",Chrome 92.0.4515.159,,,2021-08-26 23:03:07,2021-08-26 23:03:07,0.571s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_Actions""))",Chrome 92.0.4515.159,,,2021-08-26 23:03:07,2021-08-26 23:03:08,0.583s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_InviteMember""))",Chrome 92.0.4515.159,,,2021-08-26 23:03:08,2021-08-26 23:03:08,0.558s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 23:03:08,2021-08-26 23:03:13,5.015s,PASSED
"setText(findTestObject(""Actions_InviteMember/Page_Poplar Homes/input_httpsrenterdashboard.winston.cerberuslink.netjoin-grouppatient-frog-42_invitee-0""), ""winston@poplarhomes.com"")",Chrome 92.0.4515.159,,,2021-08-26 23:03:13,2021-08-26 23:03:14,0.970s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 23:03:14,2021-08-26 23:03:19,5.017s,PASSED
"if (verifyElementClickable(findTestObject(""Actions_InviteMember/Page_Poplar Homes/button_Send Invitation""), CONTINUE_ON_FAILURE))",Chrome 92.0.4515.159,,,2021-08-26 23:03:19,2021-08-26 23:03:51,31.612s,FAILED
else,Chrome 92.0.4515.159,,,2021-08-26 23:03:51,2021-08-26 23:04:34,43.021s,FAILED
