Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"TS02 - Login, Invite Member",Chrome 92.0.4515.159,,,2021-08-26 23:17:12,2021-08-26 23:18:36,1m - 23.362s,FAILED
,,,,,,,
Test Cases/Login/login_renterdash,Chrome 92.0.4515.159,,,2021-08-26 23:17:13,2021-08-26 23:17:44,30.643s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-26 23:17:14,2021-08-26 23:17:19,4.990s,PASSED
"navigateToUrl(""https://renterdashboard.winston.cerberuslink.net/login"")",Chrome 92.0.4515.159,,,2021-08-26 23:17:19,2021-08-26 23:17:26,6.718s,PASSED
"setText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__email""), ""jerrold+imusgrove32@onerent.co"")",Chrome 92.0.4515.159,,,2021-08-26 23:17:26,2021-08-26 23:17:27,1.416s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__password""), ""pK4N7w/gtfGay7FzPRwAOg=="")",Chrome 92.0.4515.159,,,2021-08-26 23:17:27,2021-08-26 23:17:29,1.133s,PASSED
"click(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/button_Log in""))",Chrome 92.0.4515.159,,,2021-08-26 23:17:29,2021-08-26 23:17:29,0.813s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-26 23:17:29,2021-08-26 23:17:39,10.144s,PASSED
"waitForElementVisible(findTestObject(""Login_TestObjects/Page_Poplar Homes/div_General DetailsCompleted""), 10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-26 23:17:39,2021-08-26 23:17:44,4.117s,PASSED
,,,,,,,
Test Cases/Profile_Tab/Group_Details/Actions/TC02 - Invite Member,Chrome 92.0.4515.159,,,2021-08-26 23:17:44,2021-08-26 23:18:36,51.884s,FAILED
"click(findTestObject(""Actions_InviteMember/Page_Poplar Homes/div_Group DetailsCompleted""))",Chrome 92.0.4515.159,,,2021-08-26 23:17:45,2021-08-26 23:17:45,0.542s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_Actions""))",Chrome 92.0.4515.159,,,2021-08-26 23:17:45,2021-08-26 23:17:46,0.564s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_InviteMember""))",Chrome 92.0.4515.159,,,2021-08-26 23:17:46,2021-08-26 23:17:46,0.580s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 23:17:46,2021-08-26 23:17:51,5.015s,PASSED
"setText(findTestObject(""Actions_InviteMember/Page_Poplar Homes/input_httpsrenterdashboard.winston.cerberuslink.netjoin-grouppatient-frog-42_invitee-0""), ""winston@poplarhomes.com"")",Chrome 92.0.4515.159,,,2021-08-26 23:17:51,2021-08-26 23:17:52,0.952s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 23:17:52,2021-08-26 23:17:57,5.018s,PASSED
"if (verifyElementClickable(findTestObject(""Actions_InviteMember/Page_Poplar Homes/button_Send Invitation""), CONTINUE_ON_FAILURE))",Chrome 92.0.4515.159,,,2021-08-26 23:17:57,2021-08-26 23:17:58,1.012s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_Send Invitation""))",Chrome 92.0.4515.159,,,2021-08-26 23:17:58,2021-08-26 23:17:59,0.529s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-26 23:17:59,2021-08-26 23:18:04,5.004s,PASSED
"click(findTestObject(""Actions_InviteMember/Page_Poplar Homes/div_Successfully sent email invitations""))",Chrome 92.0.4515.159,,,2021-08-26 23:18:04,2021-08-26 23:18:36,31.617s,FAILED
